Unique ID,Date Entered,Year,Model,Model Name,Nickname or Dial,Bracelet,Bracelet Metal/Color,Price,Full Set,Retail Ready,Current Retail (Not Inc Tax),Dealer,Comments
10000,3/11/2025,2023,126719BLRO,GMT2,Pepsi Meteorite,Oyster,White Gold,"49,500",Y (inc WT),Y,"47,500",Thomas Khoa Nguyen (Moda Watch Club),
10001,3/11/2025,2024,126719BLRO,GMT2,Pepsi Meteorite,Oyster,White Gold,"49,500",Y (inc WT),Y,"47,500",Randy Chong (Moda Watch Club),
10002,7/6/2025,2024,126718GRNR,GMT2,Guiness,Jubilee,Yellow Gold,"37,500",Y (No WT),Y,"44,600",Mike Mtime (Moda Watch Club),plus shipping label
10003,6/10/2025,2023,126715CHNR,GMT2,Root Beer,Oyster,Rose Gold,"34,000",Y (inc WT),Y,"46,500",Ziv Moyal (Moda Watch Club),plus shipping label
10004,6/13/2025,2023,126715CHNR,GMT2,Root Beer,Oyster,Rose Gold,"33,000",Y (inc WT),Y,"46,500",John Sig (Moda Watch Club),Add 300 for Box plus Shipping
10005,3/13/2025,2025,126713GRNR,GMT2,Zombie,Jubilee,Oystersteel and Gold,"19,300",Y (inc WT),Y,"17,850",Gerald Tan (Moda Watch Club),
10006,3/16/2025,2024,126713GRNR,GMT2,Zombie,Jubilee,Oystersteel and Gold,"18,700",Y (inc WT),Y,"17,850",AJ Time Piece,
10007,3/24/2025,2024,126713GRNR,GMT2,Zombie,Jubilee,Oystersteel and Gold,"16,500",Y (inc WT),Y,"17,850",AJ Time Piece,"Bumblebee, Guiness"
10008,3/6/2025,2019,126711CHNR,GMT2,Root Beer,Oyster,Oystersteel and Gold,"15,500",Y (inc WT),Y,17500,AJ Time Piece,
10009,3/12/2025,2023,126711CHNR,GMT2,Root Beer,Oyster,Oystersteel and Gold,"15,750",Y (inc WT),Y - Hairlines,17500,East Coast TimePiece (Moda Watch Club),
10010,3/12/2025,2024,126711CHNR,GMT2,Root Beer,Oyster,Oystersteel and Gold,"16,700",Y (inc WT),Y - Hairlines,17500,East Coast TimePiece (Moda Watch Club),
10011,4/14/2025,2025,126711CHNR,GMT2,Root Beer,Oyster,Oystersteel and Gold,"16,500",Y (inc WT),Y,17500,Khanh Doan (Moda Watch Club),Add 250 for Box
10012,3/13/2025,2025,126710GRNR,GMT2,Bruce Wayne,Jubilee,Oystersteel,"18,200",Y (No WT),Y,"11,000",Kelvin Parnell (Moda Watch Club),
10013,3/13/2025,2025,126710GRNR,GMT2,Bruce Wayne,Jubilee,Oystersteel,"16,500",Y (inc WT),Y,"11,000",Kamran Akbari (Moda Watch Club),
10014,4/7/2025,2025,126710GRNR,GMT2,Bruce Wayne,Jubilee,Oystersteel,"16,200",Y (inc WT),Y,"11,000",Bingjun Huang (Moda Watch Club),plus shipping label
10015,5/15/2025,2024,126710GRNR,GMT2,Bruce Wayne,Oyster,Oystersteel,"16,000",Y (inc WT),Y,"11,000",Mike Mtime (Moda Watch Club),plus shipping label
10016,3/6/2025,2024,126710BLRO,GMT2,Pepsi,Jubilee,Oystersteel,"20,500",Y (No WT),Y,11000,Benny Cloud (Moda Watch Club),
