Unique ID,Date Entered,Year,Model,Model Name,Nickname or Dial,Bracelet,Bracelet Metal/Color,Price,Full Set,Retail Ready,Current Retail (Not Inc Tax),Dealer,Comments
10000,5/5/2025,2024,126234,Datejust,Blue (While Gold Flueted Bezel),Jubilee,Oystersteel,11500,Y (inc WT),Y,11100,Randy Chong (Moda Watch Club),plus shipping label
10001,5/5/2025,2023,126234,Datejust,Blue Motif (White Gold Fluted Bezel),Jubilee,Oystersteel,11500,Y (No WT),,Discontinued,Devin Anton (Moda Watch Club),Add 250 for Box plus Shipping
10002,5/29/2025,2023,126234,Datejust,Blue Motif (White Gold Fluted Bezel),Jubilee,Oystersteel,11000,Y (No WT),N,Discontinued,Devin Anton (Moda Watch Club),Add 250 for Box plus Shipping
10003,5/30/2025,2023,126334,DateJust,Mint Green Fluted Bezel,Oyster,Oystersteel,13100,Y (inc WT),Y,10900,Angela La (Moda Watch Club),
10004,6/9/2025,2025,126334,DateJust,Slate Dial,Jubilee,Oystersteel,14250,Y (inc WT),Y,11100,Mike Mtime (Moda Watch Club),plus shipping label
10005,5/5/2025,2022,126333,Datejust,WhiteStick  Dial (Yellow Gold Fluted Bezel),Oyster,Oystersteel and Gold,13000,Y (inc WT),Y,15350,Shawn Bibian (Moda Watch Club),
10006,4/10/2025,2022,126334,Datejust,Wimbledon (Fluted Bezel),Jubilee,Oystersteel,12400,Y (No WT),Y,10800,AJ Time Piece,plus shipping label
10007,4/10/2025,2022,126334,Datejust,Wimbledon (Fluted Bezel),Jubilee,Oystersteel,12150,Y (inc WT),Y,10800,Nick TLC (Moda Watch Club),plus shipping label
10008,4/10/2025,2025,126334,Datejust,Wimbledon (Fluted Bezel),Jubilee,Oystersteel and Gold,12150,Y (inc WT),Y,14800,Nick TLC (Moda Watch Club),plus shipping label
10009,6/20/2025,2023,126333,Datejust,Champagne Motif,Jubilee,Oyster Steel and Yellow Gold,25500,Y (inc WT),Y,Discontinued,Randy Chong (Moda Watch Club),plus shipping label
10010,4/30/2025,2024,228238,Day Date,Champagne Roman,President,Yellow Gold,41500,Y (No WT),Y,43000,Fixed Income (Moda Watch Club),
10011,4/23/2025,2024,228238,Day Date,Champagne Stick,President,Yellow Gold,45800,Y (inc WT),Y,43000,Music City Timepieces,plus shipping label
10012,4/23/2025,2024,228236,Day Date,Platinum Baguette Diamond,President,White Gold,72550,Y (inc WT),Y,68500,Darwin VT (Moda Watch Club),plus shipping label
10013,5/20/2025,2024,228238,DayDate,Black Stick,President,Yellow Gold,42000,Y (inc WT),Y,44200,East Coast TimePiece (Moda Watch Club),plus shipping label
10014,5/15/2025,2024,,DayDate,Champagne Baguette,President,Yellow Gold,43000,Y (inc WT),Y,48750,Nick TLC (Moda Watch Club),Add 300 for Box plus Shipping
10015,5/20/2025,2023,228239,DayDate,Olive Roman,President,White Golks,36800,Y (No WT),Y,47500,East Coast TimePiece (Moda Watch Club),Add 300 for Box plus Shipping
10016,5/12/2025,2025,228238,DayDate,Ombre Green,President,Yellow Gold,54500,Y (inc WT),Y,44200,Fixed Income (Moda Watch Club),
10017,4/15/2025,2025,126503,Daytona,Black Dial (Gold and Black Cosmograph),Oyster,Oystersteel and Gold,22000,Y (No WT),,21400,Devin Anton (Moda Watch Club),Add 250 for Box plus Shipping
10018,3/11/2025,2023,116519,Daytona,Ghost,OysterFlex,White Gold Bezel,37500,Y (No WT),Y,Discontinued,Randy Chong (Moda Watch Club),"126519LN  New Cost is 38,100"
10019,4/23/2025,2025,126519LN,Daytona,Ghost,Oysterflex,Oysterflex,43900,Y (inc WT),Y,38100,Khanh Doan (Moda Watch Club),plus shipping label
10020,4/24/2025,2021,116519LN,Daytona,Ghost,Oysterflex,Oysterflex,34500,Y (inc WT),Y,Discontinued,Eni Zizolli (Moda Watch Club),Deal of the Day
10021,6/13/2025,2/24/2025 0:00,126519LN,Daytona,Ghost,Oysterflex,Oysterflex,42000,Y (inc WT),Y,38100,John Harris (Moda Watch Club),plus shipping label
10022,4/10/2025,2022,116500LN,Daytona,Panda,Jubilee,Oysterteel,23900,Y (inc WT),Y,Discontinued,AJ Time Piece,plus shipping label
10023,5/8/2024,2023,116500LN,Daytona,Panda,Jubilee,Oysterteel,25400,Y (inc WT),Needs Polish,Discontinued,Anthony Zhan (Moda Watch Club),plus shipping label
10024,5/13/2025,2024,126503,Daytona,White Dial (Gold outlined white circles),Oyster,Oystersteel and Gold,23500,Y (No WT),Needs Polish,22250,Kevin Chan (Moda Watch Club),plus shipping label
10025,3/13/2025,2025,126710BLNR,GMT2,Batgirl,Jubilee,Oystersteel,16500,Y (inc WT),Y,11000,Khanh Doan (Moda Watch Club),
